2026-08-13 08:30:29 [INFO    ] sdr_monitor (logger.py:65): Logger initialized  →  logs\sdr_monitor_20260813.log
2026-08-13 08:30:29 [DEBUG   ] sdr_monitor.signal_processor (signal_processor.py:85): SignalProcessor  fft=1024  window=hann  avg=3
2026-08-13 08:30:29 [INFO    ] sdr_monitor.db_manager (db_manager.py:29): Database initialized at: data/sdr_monitor.db
2026-08-13 08:30:30 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 4DC31F08 [simulation]
2026-08-13 08:30:31 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 08:30:31 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 08:30:31 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 3542CF84 [hardware]
2026-08-13 08:30:31 [INFO    ] sdr_monitor.web_backend (main.py:196): SDR started in [HARDWARE] mode. Session: 3542CF84
2026-08-13 08:30:31 [INFO    ] sdr_monitor.web_backend (main.py:215): Web-SDR Application Started. Session: 3542CF84
2026-08-13 08:38:25 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 08:38:25 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 08:38:26 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 818EE404 [hardware]
2026-08-13 08:38:26 [INFO    ] sdr_monitor.web_backend (main.py:196): SDR started in [HARDWARE] mode. Session: 818EE404
2026-08-13 08:39:05 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:218): SoapySDR: no HackRF device found. Enumerated devices: ()
2026-08-13 08:39:05 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in simulation mode.
2026-08-13 08:39:05 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 3CE4C7CE [simulation]
2026-08-13 08:39:05 [INFO    ] sdr_monitor.web_backend (main.py:423): Hardware reload requested; engine now in simulation mode.
2026-08-13 08:39:12 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 08:39:12 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 08:39:12 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: DB745B9B [hardware]
2026-08-13 08:39:12 [INFO    ] sdr_monitor.web_backend (main.py:423): Hardware reload requested; engine now in hardware mode.
2026-08-13 08:39:39 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 08:39:39 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 08:39:39 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 9283D267 [hardware]
2026-08-13 08:39:39 [INFO    ] sdr_monitor.web_backend (main.py:196): SDR started in [HARDWARE] mode. Session: 9283D267
2026-08-13 08:39:58 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 08:39:58 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 08:39:58 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 3558CBBE [hardware]
2026-08-13 08:39:58 [INFO    ] sdr_monitor.web_backend (main.py:423): Hardware reload requested; engine now in hardware mode.
2026-08-13 08:39:59 [ERROR   ] sdr_monitor.sdr_engine (sdr_engine.py:325): Hardware streaming error: RX stream already opened
2026-08-13 08:40:13 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 08:40:13 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 08:40:13 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: DF225050 [hardware]
2026-08-13 08:40:13 [INFO    ] sdr_monitor.web_backend (main.py:423): Hardware reload requested; engine now in hardware mode.
2026-08-13 08:40:41 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:40:42 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.604863 MHz in FM mode
2026-08-13 08:40:44 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:40:44 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:41:01 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:41:01 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.604863 MHz in FM mode
2026-08-13 08:41:25 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:41:25 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:41:26 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:41:26 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 103.643364 MHz in FM mode
2026-08-13 08:41:27 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:41:27 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:41:39 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:41:39 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 105.997974 MHz in FM mode
2026-08-13 08:41:43 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:41:43 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:41:51 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:41:51 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.721289 MHz in FM mode
2026-08-13 08:41:53 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:41:53 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:41:54 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:41:54 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.721289 MHz in FM mode
2026-08-13 08:41:57 [ERROR   ] sdr_monitor.web_backend (main.py:568): Audio send task error: 
2026-08-13 08:41:57 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:41:57 [ERROR   ] sdr_monitor.web_backend (main.py:587): Audio WebSocket receive error: WebSocket is not connected. Need to call "accept" first.
2026-08-13 08:41:59 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:41:59 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.721289 MHz in AM mode
2026-08-13 08:41:59 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:41:59 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:42:01 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:42:01 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.721289 MHz in FM mode
2026-08-13 08:42:02 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:42:02 [ERROR   ] sdr_monitor.web_backend (main.py:568): Audio send task error: 
2026-08-13 08:42:02 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:42:11 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:42:11 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 94.494987 MHz in FM mode
2026-08-13 08:43:41 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:224): HackRF One detected and configured.
2026-08-13 08:43:41 [INFO    ] sdr_monitor.sdr_engine (sdr_engine.py:458): SDREngine initialized in hardware mode.
2026-08-13 08:43:41 [INFO    ] sdr_monitor.db_manager (db_manager.py:132): Session created: 08DE85CE [hardware]
2026-08-13 08:43:41 [INFO    ] sdr_monitor.web_backend (main.py:423): Hardware reload requested; engine now in hardware mode.
2026-08-13 08:44:16 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:44:16 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
2026-08-13 08:44:25 [INFO    ] sdr_monitor.web_backend (main.py:556): Audio WebSocket client connected.
2026-08-13 08:44:25 [INFO    ] sdr_monitor.web_backend (main.py:579): Audio streaming started for 97.672292 MHz in FM mode
2026-08-13 08:44:39 [INFO    ] sdr_monitor.web_backend (main.py:583): Audio streaming stopped.
2026-08-13 08:44:39 [INFO    ] sdr_monitor.web_backend (main.py:585): Audio WebSocket client disconnected.
